GOSECSBJ,KISMODE,KISLEVEL,GOSECLQ_UK,GOSECMED_UK,GOSECUQ_UK,GOSECPOP_UK,GOSECLQ_E,GOSECMED_E,GOSECUQ_E,GOSECPOP_E,GOSECLQ_NI,GOSECMED_NI,GOSECUQ_NI,GOSECPOP_NI,GOSECLQ_S,GOSECMED_S,GOSECUQ_S,GOSECPOP_S,GOSECLQ_W,GOSECMED_W,GOSECUQ_W,GOSECPOP_W
CAH20-01-02,01,03,24000,26000,30000,290,24000,26500,30000,255,NA,NA,NA,NA,22500,25000,27500,35,NA,NA,NA,NA
CAH20-01-02,02,04,50000,60000,78000,10,50000,60000,78000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-01-03,01,03,22000,24500,27000,305,22500,24500,27000,285,NA,NA,NA,NA,21000,23000,25000,15,NA,NA,NA,NA
CAH20-01-03,02,03,23000,24000,34000,15,23000,24000,35000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-01-03,02,04,55000,70000,122000,15,42000,57500,105000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-01-04,01,03,23000,24500,32000,15,23000,24500,32000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-01-05,01,03,23000,26000,31000,435,23000,26000,31000,395,NA,NA,NA,NA,23500,26000,30000,25,20000,23000,25000,10
CAH20-01-05,02,03,25000,30000,45000,55,25000,30000,42000,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02,01,03,23500,27000,31000,1885,23500,27000,31500,1695,19000,24000,27000,25,21000,25000,30000,105,23000,24000,28000,60
CAH20-02,01,04,16000,26000,28000,60,18000,26000,28000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02,02,03,24000,29000,40000,110,24500,28500,40000,90,NA,NA,NA,NA,23000,26000,58000,10,NA,NA,NA,NA
CAH20-02,02,04,25000,29000,40000,45,24500,30000,46000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02-01,01,03,23500,27000,32000,1300,24000,27500,32000,1190,NA,NA,NA,NA,22000,25000,28000,60,23000,23500,28000,40
CAH20-02-01,02,03,27000,31500,46500,40,27000,31000,45000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02-02,01,03,23000,26000,30000,585,23500,27000,30000,505,21000,24000,29500,15,20000,24500,32000,45,23000,24000,30000,20
CAH20-02-02,01,04,16000,26000,28000,60,18000,26000,28000,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02-02,02,03,23000,28000,37000,70,24000,28000,37000,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH20-02-02,02,04,25000,29000,40000,45,24000,29000,50000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH22,01,03,24500,30000,31000,9305,24000,29500,30000,7835,24000,25000,30000,215,30000,32000,38000,885,21000,27000,30000,355
CAH22,01,04,19000,25000,30000,1295,19000,24500,29500,1240,NA,NA,NA,NA,NA,NA,NA,NA,18000,27500,30500,50
CAH22,02,03,24000,30000,32000,1370,23000,28000,31500,1020,27000,28000,50000,20,29000,32000,37000,315,18500,22000,25000,20
CAH22,02,04,25000,31000,37000,1750,24000,30000,36000,1405,29000,33000,34000,45,30000,40000,46000,140,25500,31000,38000,165
CAH22-01,01,03,24500,30000,31000,9305,24000,29500,30000,7835,24000,25000,30000,215,30000,32000,38000,885,21000,27000,30000,355
CAH22-01,01,04,19000,25000,30000,1295,19000,24500,29500,1240,NA,NA,NA,NA,NA,NA,NA,NA,18000,27500,30500,50
CAH22-01,02,03,24000,30000,32000,1370,23000,28000,31500,1020,27000,28000,50000,20,29000,32000,37000,315,18500,22000,25000,20
CAH22-01,02,04,25000,31000,37000,1750,24000,30000,36000,1405,29000,33000,34000,45,30000,40000,46000,140,25500,31000,38000,165
CAH22-01-01,01,03,21000,26000,30000,3165,21000,26000,30000,2900,16000,22000,25000,20,23000,27500,32000,65,17000,23000,28000,175
CAH22-01-01,01,04,17500,22500,26000,710,18000,22500,26000,690,NA,NA,NA,NA,NA,NA,NA,NA,15000,18000,27500,20
CAH22-01-01,02,03,23500,29000,32000,1040,23000,28000,31000,805,NA,NA,NA,NA,29000,32500,37000,215,18500,24000,25000,15
CAH22-01-01,02,04,20000,28000,38000,590,19000,25000,33000,400,29500,33500,34000,40,30000,40000,45000,120,17000,20000,29500,30
CAH22-01-02,01,03,28000,30000,32000,6145,28000,30000,31000,4930,24000,26000,30000,195,30000,33000,38000,820,25000,29000,30000,180
CAH22-01-02,01,04,23000,28000,31000,585,23000,28000,31000,550,NA,NA,NA,NA,NA,NA,NA,NA,23000,28500,31000,30
CAH22-01-02,02,03,28000,30000,33500,330,27000,30000,32000,210,28000,45000,50500,15,28000,31000,34000,100,NA,NA,NA,NA
CAH22-01-02,02,04,27000,32000,37000,1160,27000,32000,36500,1005,NA,NA,NA,NA,40000,45000,48000,15,27500,32000,39000,135
CAH23,01,03,24000,28000,32000,585,25000,28000,32000,530,20000,24000,28000,25,23000,24000,28000,25,NA,NA,NA,NA
CAH23,02,03,26000,31000,40000,655,26000,31000,40000,515,24500,27000,32000,20,26000,32000,39000,95,26000,30000,40000,20
CAH23,02,04,24000,30000,40000,120,23000,28500,40000,70,NA,NA,NA,NA,28500,35000,47500,35,NA,NA,NA,NA
CAH23-01,01,03,24000,28000,32000,585,25000,28000,32000,530,20000,24000,28000,25,23000,24000,28000,25,NA,NA,NA,NA
CAH23-01,02,03,26000,31000,40000,655,26000,31000,40000,515,24500,27000,32000,20,26000,32000,39000,95,26000,30000,40000,20
CAH23-01,02,04,24000,30000,40000,120,23000,28500,40000,70,NA,NA,NA,NA,28500,35000,47500,35,NA,NA,NA,NA
CAH23-01-01,01,03,25000,28000,32000,160,25000,28500,32000,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH23-01-01,02,03,27000,31500,41000,510,27000,31000,41000,400,27000,29000,32500,15,28000,33000,42000,80,28500,30000,46000,15
CAH23-01-01,02,04,23500,28500,38000,85,23000,28500,37000,60,NA,NA,NA,NA,30000,35000,50000,15,NA,NA,NA,NA
CAH23-01-02,01,03,24000,28000,30000,105,24000,28000,30000,85,NA,NA,NA,NA,24000,27500,28500,10,NA,NA,NA,NA
CAH23-01-02,02,03,28000,35000,46000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH23-01-02,02,04,30000,42000,47500,20,NA,NA,NA,NA,NA,NA,NA,NA,30000,36000,47500,20,NA,NA,NA,NA
CAH23-01-03,01,03,24000,26500,32000,90,23500,26500,32000,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH23-01-03,02,03,24500,30000,34000,125,25000,30000,35000,105,NA,NA,NA,NA,24000,29000,32000,15,NA,NA,NA,NA
CAH23-01-03,02,04,24000,27000,39000,15,22000,30000,40000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH23-01-04,01,03,24000,27000,32000,235,25000,28000,32000,200,15500,24000,28000,25,NA,NA,NA,NA,NA,NA,NA,NA
CAH24,01,03,22000,24500,28000,4200,22000,25000,28000,3575,21000,24000,26500,135,22000,24000,26000,330,21000,24000,27000,155
CAH24,01,04,19000,24000,26000,15,19000,25000,26000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24,02,03,22000,24000,26000,65,21500,24000,26000,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01,01,03,22000,24500,28000,4200,22000,25000,28000,3575,21000,24000,26500,135,22000,24000,26000,330,21000,24000,27000,155
CAH24-01,01,04,19000,24000,26000,15,19000,25000,26000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01,02,03,22000,24000,26000,65,21500,24000,26000,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01-01,01,03,23500,28000,32000,30,23500,28000,32000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01-02,01,03,24000,26000,28000,160,24000,26000,28000,135,24500,27000,30000,10,24000,27000,31000,15,NA,NA,NA,NA
CAH24-01-03,01,03,22000,25000,27000,100,22000,25000,27000,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01-04,01,03,22000,25000,27500,1455,22500,25000,28000,1265,17000,23000,24000,15,22000,24000,26000,95,21500,24000,27500,70
CAH24-01-04,02,03,21000,23500,25000,15,21000,23500,26000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01-05,01,03,22000,24000,27500,2455,22000,24500,28000,2045,21000,24000,26000,105,21500,24000,26000,225,21000,23500,26000,80
CAH24-01-05,01,04,14000,24000,26000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH24-01-05,02,03,22500,24000,26000,40,22000,24000,26000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25,01,03,21000,24000,27000,17005,21000,24000,27000,15155,20000,23000,26000,310,19500,23000,26000,925,19000,22500,25500,580
CAH25,01,04,17000,21500,26000,500,17000,21500,26000,470,NA,NA,NA,NA,NA,NA,NA,NA,14000,21500,23000,20
CAH25,02,03,22000,25000,31000,270,22000,26000,31000,240,NA,NA,NA,NA,20000,26000,32500,20,NA,NA,NA,NA
CAH25,02,04,24000,27000,32000,35,26000,27000,32000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH25-01,01,03,21500,24000,27000,11845,22000,24000,27000,10535,21000,23000,26000,220,20000,23500,26000,675,19000,23000,26000,385
