UKPRN,PROVIDER_NAME,UPDATED
10003128,Holy Cross College,07/10/2025
10003146,Hopwood Hall College,07/10/2025
10003193,Hugh Baird College,07/10/2025
10003200,Hull College,07/10/2025
10003212,Hult International Business School Ltd,07/10/2025
10003239,ICON College of Technology and Management,07/10/2025
10003270,"Imperial College of Science, Technology and Medicine",07/10/2025
10003284,Inchbald School of Design Limited,07/10/2025
10003336,IPP EDUCATION LIMITED,07/10/2025
10003558,Kendal College,07/10/2025
10003614,The University of Winchester,07/10/2025
10003645,King's College London,07/10/2025
10003674,South Thames Colleges Group,07/10/2025
10003678,Kingston University,07/10/2025
10003746,Laine Theatre Arts,07/10/2025
10003758,LAMDA Limited,07/10/2025
10003798,Le Cordon Bleu Limited,07/10/2025
10003854,Leeds Arts University,07/10/2025
10003863,Leeds Trinity University,07/10/2025
10003867,Leicester College,07/10/2025
10003867,Leicester College,07/10/2025
10003928,Lincoln College,07/10/2025
10003945,The Liverpool Institute for Performing Arts,07/10/2025
10003955,The City of Liverpool College,07/10/2025
10003956,Liverpool Hope University,07/10/2025
10003957,Liverpool John Moores University,07/10/2025
10004028,"The Place, London Contemporary Dance School (LCDS)",07/10/2025
10004035,The Film Education Training Trust Limited,07/10/2025
10004048,London Metropolitan University,07/10/2025
10004061,Bloomsbury Institute,07/10/2025
10004063,London School of Economics and Political Science,07/10/2025
10004075,London School of Theology,07/10/2025
10004078,London South Bank University,07/10/2025
10004079,London Studio Centre,07/10/2025
10004112,Loughborough College,07/10/2025
10004113,Loughborough University,07/10/2025
10004116,EAST COAST COLLEGE,07/10/2025
10004177,THE GROWTH COMPANY LIMITED,07/10/2025
10004180,The Manchester Metropolitan University,07/10/2025
10004320,The Metanoia Institute,07/10/2025
10004340,Mid-Kent College,07/10/2025
10004344,Middlesbrough College,07/10/2025
10004351,Middlesex University,07/10/2025
10004365,MILLENNIUM PERFORMING ARTS LTD.,07/10/2025
10004432,Morley College Limited,07/10/2025
10004442,Moulton College,07/10/2025
10004450,Mountview Academy of Theatre Arts,07/10/2025
10004478,Myerscough College,07/10/2025
10004538,Nazarene Theological College,07/10/2025
10004552,Nelson and Colne College,07/10/2025
10004576,New College Durham,07/10/2025
10004577,Nottingham College,07/10/2025
10004579,New College Swindon,07/10/2025
10004596,Newbury College,07/10/2025
10004599,NCG,07/10/2025
10004607,Newham College of Further Education,07/10/2025
10004676,Petroc,07/10/2025
10004686,North East Surrey College of Technology (NESCOT),07/10/2025
10004695,DN Colleges Group,07/10/2025
10004718,North Warwickshire and South Leicestershire College,07/10/2025
10004721,North Kent College,07/10/2025
10004740,Northern College of Acupuncture,07/10/2025
10004747,St Hild College,07/10/2025
10004772,City College Norwich,07/10/2025
10004775,Norwich University of the Arts,07/10/2025
10004797,The Nottingham Trent University,07/10/2025
10004835,Oaklands College,07/10/2025
10004879,OPEN COLLEGE OF THE ARTS,07/10/2025
10004927,Activate Learning,07/10/2025
10004927,Activate Learning,07/10/2025
10004930,Oxford Brookes University,07/10/2025
10005032,Salford City College,07/10/2025
10005072,Peter Symonds College,07/10/2025
10005124,Plumpton College,07/10/2025
10005127,Arts University Plymouth,07/10/2025
10005128,City College Plymouth,07/10/2025
10005200,Preston College,07/10/2025
10005337,"Queen Margaret University, Edinburgh",07/10/2025
10005343,Queen's University Belfast,07/10/2025
10005378,Rambert School,07/10/2025
10005389,Ravensbourne University London,07/10/2025
10005404,Reaseheath College,07/10/2025
10005451,Arden University,07/10/2025
