LEO5SECSBJ,KISMODE,KISLEVEL,LEO5SECPOP_UK,LEO5LQ_UK,LEO5MED_UK,LEO5UQ_UK,LEO5SECPOP_E,LEO5LQ_E,LEO5MED_E,LEO5UQ_E,LEO5SECPOP_NW,LEO5LQ_NW,LEO5MED_NW,LEO5UQ_NW,LEO5SECPOP_NE,LEO5LQ_NE,LEO5MED_NE,LEO5UQ_NE,LEO5SECPOP_EM,LEO5LQ_EM,LEO5MED_EM,LEO5UQ_EM,LEO5SECPOP_WM,LEO5LQ_WM,LEO5MED_WM,LEO5UQ_WM,LEO5SECPOP_EE,LEO5LQ_EE,LEO5MED_EE,LEO5UQ_EE,LEO5SECPOP_SE,LEO5LQ_SE,LEO5MED_SE,LEO5UQ_SE,LEO5SECPOP_SW,LEO5LQ_SW,LEO5MED_SW,LEO5UQ_SW,LEO5SECPOP_YH,LEO5LQ_YH,LEO5MED_YH,LEO5UQ_YH,LEO5SECPOP_LN,LEO5LQ_LN,LEO5MED_LN,LEO5UQ_LN,LEO5SECPOP_W,LEO5LQ_W,LEO5MED_W,LEO5UQ_W,LEO5SECPOP_CF,LEO5LQ_CF,LEO5MED_CF,LEO5UQ_CF,LEO5SECPOP_S,LEO5LQ_S,LEO5MED_S,LEO5UQ_S,LEO5SECPOP_ED,LEO5LQ_ED,LEO5MED_ED,LEO5UQ_ED,LEO5SECPOP_GL,LEO5LQ_GL,LEO5MED_GL,LEO5UQ_GL
CAH05-01-01,01,03,995,33000,39000,44000,815,33000,39000,45000,115,31000,38000,44000,30,34000,39000,44500,85,33000,37000,45000,65,36000,39500,44000,95,31000,39500,44500,155,32000,38500,46500,145,34500,40000,44000,65,33000,38000,42500,55,33500,42000,47000,65,30500,37500,42500,NA,NA,NA,NA,90,35500,38500,43000,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01-01,02,04,15,23000,25500,34500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01-02,01,03,390,21000,25000,28500,325,21000,25000,29000,35,21000,23000,26000,NA,NA,NA,NA,45,18000,21000,25500,25,18500,23000,26500,55,22000,26000,27500,70,25000,27500,31500,40,21500,24000,26500,20,21500,23500,25000,30,21500,27500,31000,NA,NA,NA,NA,NA,NA,NA,NA,50,21500,25000,27500,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01-02,01,04,170,19500,23500,27000,150,19000,23500,27000,20,18000,21500,25000,NA,NA,NA,NA,15,18000,23500,26000,20,19000,22000,25500,15,19000,25000,27000,35,21000,24500,27500,NA,NA,NA,NA,20,22500,24500,27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01-02,02,03,20,23000,29000,33000,15,23500,29000,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH05-01-02,02,04,105,19500,26500,33500,100,18500,26500,34500,15,21000,27000,31500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,18500,34000,38500,25,16500,23000,27000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06,01,03,3085,19500,25000,32500,2690,19500,25000,33000,345,18000,22500,29000,95,19500,25000,32500,340,19500,26500,34000,340,19500,25000,32500,335,20500,27000,35000,480,19500,26000,32500,305,18500,23500,30000,280,18500,24500,32000,175,23500,31000,40500,180,19500,24000,29000,15,22000,24000,29000,180,21500,26500,34000,NA,NA,NA,NA,NA,NA,NA,NA
CAH06,01,04,1685,17000,21000,26000,1270,17000,21000,26500,125,16000,20500,26000,25,18000,19500,22500,165,18000,22500,28000,130,17000,20000,25500,145,18000,22000,27000,235,17500,21000,25000,205,16500,21000,26500,175,17000,21000,26000,60,14500,23500,29000,125,14000,18500,24500,NA,NA,NA,NA,285,16000,19500,25500,20,19500,22500,29500,NA,NA,NA,NA
CAH06,02,03,170,18500,25000,34500,135,18500,26000,34500,15,18500,22500,26500,NA,NA,NA,NA,15,21000,27000,37500,20,17000,23500,30500,NA,NA,NA,NA,25,19500,28500,36000,20,17500,21000,36000,NA,NA,NA,NA,NA,NA,NA,NA,15,14500,19500,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAH06,02,04,310,20500,28500,37000,230,21500,29500,38500,50,18000,27500,34500,NA,NA,NA,NA,40,25000,30500,36000,20,22500,29500,40500,30,17000,27500,34000,25,22500,32000,38500,30,21000,32000,42500,15,27500,33500,39500,NA,NA,NA,NA,50,16500,23500,27000,NA,NA,NA,NA,30,26500,33500,42500,NA,NA,NA,NA,NA,NA,NA,NA
